Time,Publication,Sent
2022-08-06 07:23:54.110971+10:00,News,0
2022-08-06 07:23:55.958502+10:00,SMH,10
2022-08-06 07:26:17.876163+10:00,ABC,20
2022-08-06 07:26:43.533982+10:00,News,0
2022-08-06 07:26:45.202662+10:00,SMH,9
2022-08-06 18:20:17.196442+10:00,ABC,20
2022-08-06 18:20:38.794256+10:00,SBS,12
2022-08-06 18:20:55.566585+10:00,News,0
2022-08-06 18:20:57.345827+10:00,SMH,9
2022-08-07 06:17:35.080307+10:00,SBS,12
2022-08-07 06:17:52.413548+10:00,News,0
2022-08-07 06:17:54.558394+10:00,SMH,10
2022-08-07 18:19:42.337826+10:00,ABC,20
2022-08-07 18:20:02.291473+10:00,SBS,12
2022-08-07 18:20:18.234511+10:00,News,0
2022-08-07 18:20:20.137395+10:00,SMH,10
2022-08-08 06:17:58.090879+10:00,ABC,20
2022-08-08 06:18:14.990033+10:00,SBS,12
2022-08-08 06:18:32.725382+10:00,News,0
2022-08-08 06:18:34.424403+10:00,SMH,7
2022-08-08 18:25:05.431950+10:00,ABC,20
2022-08-08 18:25:32.765349+10:00,News,0
2022-08-08 18:25:34.586185+10:00,SMH,8
2022-08-09 06:18:38.131703+10:00,ABC,20
2022-08-09 06:19:11.286634+10:00,News,0
2022-08-09 06:19:13.032413+10:00,SMH,9
2022-08-09 18:25:29.740186+10:00,ABC,20
2022-08-09 18:25:54.391689+10:00,SBS,12
2022-08-09 18:26:12.580455+10:00,News,0
2022-08-09 18:26:14.350520+10:00,SMH,10
2022-08-10 06:18:29.339248+10:00,ABC,20
2022-08-10 06:18:53.978014+10:00,SBS,12
2022-08-10 06:19:15.143482+10:00,News,0
2022-08-10 06:19:16.934350+10:00,SMH,9
2022-08-10 18:20:48.911125+10:00,ABC,20
2022-08-10 18:21:20.229879+10:00,News,0
2022-08-10 18:21:22.259960+10:00,SMH,8
2022-08-11 06:17:51.454529+10:00,ABC,20
2022-08-11 06:18:20.270662+10:00,News,0
2022-08-11 06:18:22.168178+10:00,SMH,8
2022-08-11 18:20:33.913095+10:00,ABC,20
2022-08-11 18:20:56.884990+10:00,SBS,12
2022-08-11 18:21:14.433858+10:00,News,0
2022-08-11 18:21:16.350510+10:00,SMH,8
2022-08-12 06:17:31.859494+10:00,ABC,20
2022-08-12 06:17:52.112822+10:00,SBS,12
2022-08-12 06:18:11.625969+10:00,News,0
2022-08-12 06:18:13.451355+10:00,SMH,8
2022-08-12 18:21:26.824262+10:00,ABC,20
2022-08-12 18:21:52.597584+10:00,News,0
2022-08-12 18:21:54.249789+10:00,SMH,8
2022-08-13 06:17:34.153362+10:00,ABC,20
2022-08-13 06:18:02.908166+10:00,News,0
2022-08-13 06:18:04.901921+10:00,SMH,10
2022-08-13 18:20:58.439183+10:00,ABC,20
2022-08-13 18:21:21.911043+10:00,SBS,12
2022-08-13 18:21:37.767702+10:00,News,0
2022-08-13 18:21:39.697204+10:00,SMH,8
2022-08-14 06:17:23.890885+10:00,ABC,20
2022-08-14 06:17:44.142305+10:00,SBS,12
2022-08-14 06:18:05.070146+10:00,News,0
2022-08-14 06:18:06.930116+10:00,SMH,10
2022-08-14 18:19:57.184254+10:00,ABC,20
2022-08-14 18:20:19.986134+10:00,SBS,12
2022-08-14 18:20:33.381142+10:00,News,0
2022-08-14 18:20:35.124528+10:00,SMH,9
2022-08-15 06:16:56.919079+10:00,ABC,20
2022-08-15 06:17:20.031860+10:00,SBS,12
2022-08-15 06:17:38.387398+10:00,News,0
2022-08-15 06:17:40.129345+10:00,SMH,7
2022-08-15 18:21:13.408237+10:00,ABC,20
2022-08-15 18:21:44.006388+10:00,News,0
2022-08-15 18:21:46.010246+10:00,SMH,8
2022-08-16 06:18:04.544239+10:00,ABC,20
2022-08-16 06:18:46.174948+10:00,News,0
2022-08-16 06:18:47.917510+10:00,SMH,7
2022-08-16 18:17:31.840365+10:00,ABC,20
2022-08-16 18:18:03.027024+10:00,News,0
2022-08-16 18:18:04.765054+10:00,SMH,6
2022-08-17 06:18:33.666779+10:00,ABC,20
2022-08-17 06:19:14.926619+10:00,News,0
2022-08-17 06:19:16.695601+10:00,SMH,6
2022-08-17 18:22:37.900632+10:00,ABC,20
2022-08-17 18:23:12.971640+10:00,News,0
2022-08-17 18:23:14.877611+10:00,SMH,8
2022-08-18 06:18:27.306101+10:00,ABC,20
2022-08-18 06:18:51.513773+10:00,News,0
2022-08-18 06:18:53.203879+10:00,SMH,8
2022-08-18 18:20:59.034226+10:00,ABC,20
2022-08-18 18:21:26.251671+10:00,SBS,12
2022-08-18 18:21:42.988072+10:00,News,0
2022-08-18 18:21:44.973723+10:00,SMH,8
2022-08-19 06:20:25.831862+10:00,ABC,20
2022-08-19 06:20:49.455117+10:00,SBS,12
2022-08-19 06:21:06.979420+10:00,News,0
2022-08-19 06:21:08.884864+10:00,SMH,9
2022-08-19 18:21:20.024735+10:00,ABC,20
2022-08-19 18:22:01.446436+10:00,News,0
2022-08-19 18:22:03.305258+10:00,SMH,8
2022-08-20 06:18:46.838329+10:00,ABC,20
2022-08-20 06:19:29.805077+10:00,News,0
2022-08-20 06:19:31.669571+10:00,SMH,10
2022-08-20 18:21:54.083908+10:00,ABC,20
2022-08-20 18:22:16.736082+10:00,SBS,12
2022-08-20 18:22:27.514135+10:00,News,0
2022-08-20 18:22:29.426535+10:00,SMH,8
2022-08-21 06:18:01.385921+10:00,ABC,20
2022-08-21 06:18:20.036855+10:00,SBS,12
2022-08-21 06:18:36.853684+10:00,News,0
2022-08-21 06:18:38.624913+10:00,SMH,10
2022-08-21 18:20:41.539941+10:00,ABC,20
2022-08-21 18:21:03.534606+10:00,SBS,12
2022-08-21 18:21:23.317117+10:00,News,0
2022-08-21 18:21:25.232284+10:00,SMH,7
2022-08-22 06:17:46.628198+10:00,ABC,20
2022-08-22 06:18:06.625653+10:00,SBS,12
2022-08-22 06:18:22.994698+10:00,News,0
2022-08-22 06:18:24.781704+10:00,SMH,7
2022-08-22 18:22:12.742359+10:00,ABC,20
2022-08-22 18:22:38.774618+10:00,News,0
2022-08-22 18:22:40.712487+10:00,SMH,8
2022-08-23 06:17:16.915738+10:00,ABC,20
2022-08-23 06:17:45.422112+10:00,News,0
2022-08-23 06:17:47.741703+10:00,SMH,8
2022-08-23 18:22:13.789717+10:00,ABC,20
2022-08-23 18:22:47.525105+10:00,News,0
2022-08-23 18:22:49.220759+10:00,SMH,8
2022-08-24 06:18:27.003177+10:00,ABC,20
2022-08-24 06:19:07.754473+10:00,News,0
2022-08-24 06:19:09.588307+10:00,SMH,8
2022-08-24 18:22:38.197568+10:00,ABC,20
2022-08-24 18:23:05.719047+10:00,News,0
2022-08-24 18:23:07.901332+10:00,SMH,6
2022-08-25 06:18:08.837309+10:00,ABC,20
2022-08-25 06:18:44.280697+10:00,News,0
2022-08-25 06:18:46.135081+10:00,SMH,7
2022-08-25 18:23:46.883108+10:00,ABC,20
2022-08-25 18:24:07.397748+10:00,SBS,12
2022-08-25 18:24:22.096954+10:00,News,0
2022-08-25 18:24:23.778401+10:00,SMH,10
2022-08-26 06:18:38.881695+10:00,ABC,20
2022-08-26 06:19:03.212691+10:00,SBS,12
2022-08-26 06:19:20.015439+10:00,News,0
2022-08-26 06:19:21.805876+10:00,SMH,9
2022-08-26 10:16:41.922673+10:00,News,10
2022-08-26 10:18:35.662478+10:00,ABC,20
2022-08-26 10:18:53.285482+10:00,SBS,12
2022-08-26 10:19:12.314934+10:00,News,0
2022-08-26 10:19:14.038487+10:00,SMH,9
2022-08-26 18:22:50.322922+10:00,ABC,20
2022-08-26 18:23:12.300019+10:00,News,0
2022-08-26 18:23:14.172846+10:00,SMH,9
2022-08-27 06:18:41.677375+10:00,ABC,20
2022-08-27 06:19:12.051167+10:00,News,0
2022-08-27 06:19:13.945768+10:00,SMH,10
2022-08-27 18:21:10.136925+10:00,ABC,20
2022-08-27 18:21:35.734251+10:00,SBS,12
2022-08-27 18:21:54.255723+10:00,News,0
2022-08-27 18:21:56.146486+10:00,SMH,9
2022-08-28 06:17:33.813904+10:00,ABC,20
2022-08-28 06:18:00.624021+10:00,SBS,12
2022-08-28 06:18:19.553306+10:00,News,0
2022-08-28 06:18:21.365065+10:00,SMH,10
2022-08-28 18:21:12.766449+10:00,ABC,20
2022-08-28 18:21:34.325396+10:00,SBS,12
2022-08-28 18:21:52.443717+10:00,News,0
2022-08-28 18:21:54.417751+10:00,SMH,9
2022-08-29 06:18:16.810273+10:00,ABC,20
2022-08-29 06:18:40.275932+10:00,SBS,12
2022-08-29 06:18:55.965756+10:00,News,0
2022-08-29 06:18:57.703962+10:00,SMH,8
2022-08-29 18:22:31.810254+10:00,ABC,20
2022-08-29 18:23:00.443210+10:00,News,0
2022-08-29 18:23:02.165458+10:00,SMH,6
2022-08-30 06:19:09.170892+10:00,ABC,20
2022-08-30 06:19:42.953764+10:00,News,0
2022-08-30 06:19:44.999267+10:00,SMH,7
2022-08-30 18:23:26.105113+10:00,ABC,20
2022-08-30 18:24:01.957179+10:00,News,0
2022-08-30 18:24:03.783726+10:00,SMH,9
2022-08-31 06:18:28.615496+10:00,ABC,20
2022-08-31 06:18:56.257364+10:00,SBS,12
2022-08-31 06:19:12.413278+10:00,News,0
2022-08-31 06:19:13.981498+10:00,SMH,8
2022-08-31 18:21:42.541765+10:00,ABC,20
2022-08-31 18:22:00.386621+10:00,SBS,12
2022-08-31 18:22:18.994927+10:00,News,0
2022-08-31 18:22:20.738296+10:00,SMH,7
2022-09-01 06:18:52.624171+10:00,ABC,20
2022-09-01 06:19:13.014797+10:00,SBS,12
2022-09-01 06:19:29.539947+10:00,News,0
2022-09-01 06:19:31.464160+10:00,SMH,8
2022-09-01 18:24:49.781242+10:00,ABC,20
2022-09-01 18:25:07.921172+10:00,SBS,12
2022-09-01 18:25:25.458635+10:00,News,0
2022-09-01 18:25:27.078077+10:00,SMH,10
2022-09-02 06:18:55.378211+10:00,ABC,20
2022-09-02 06:19:16.728439+10:00,SBS,12
2022-09-02 06:19:36.716197+10:00,News,0
2022-09-02 06:19:38.465657+10:00,SMH,8
2022-09-02 18:22:32.641396+10:00,ABC,20
2022-09-02 18:22:56.845490+10:00,SBS,12
2022-09-02 18:23:14.027974+10:00,News,0
2022-09-02 18:23:15.923491+10:00,SMH,9
2022-09-03 06:18:57.432959+10:00,ABC,20
2022-09-03 06:19:22.403361+10:00,SBS,12
2022-09-03 06:19:41.843829+10:00,News,0
2022-09-03 06:19:43.695931+10:00,SMH,10
2022-09-03 18:21:08.266783+10:00,ABC,20
2022-09-03 18:21:28.570754+10:00,SBS,12
2022-09-03 18:21:47.215589+10:00,News,0
2022-09-03 18:21:49.356617+10:00,SMH,9
2022-09-04 06:17:56.433987+10:00,ABC,20
2022-09-04 06:18:20.113014+10:00,SBS,12
2022-09-04 06:18:40.225686+10:00,News,0
2022-09-04 06:18:42.234634+10:00,SMH,10
2022-09-04 18:20:46.735225+10:00,ABC,20
2022-09-04 18:21:10.236742+10:00,SBS,12
2022-09-04 18:21:30.026490+10:00,News,0
2022-09-04 18:21:31.910803+10:00,SMH,6
2022-09-05 06:19:14.192651+10:00,ABC,20
2022-09-05 06:19:34.274656+10:00,SBS,12
2022-09-05 06:19:55.246488+10:00,News,0
2022-09-05 06:19:57.089479+10:00,SMH,10
2022-09-05 18:21:20.652268+10:00,ABC,20
2022-09-05 18:21:51.644247+10:00,News,0
2022-09-05 18:21:53.460240+10:00,SMH,8
2022-09-06 06:19:11.577487+10:00,ABC,20
2022-09-06 06:19:32.018846+10:00,News,0
2022-09-06 06:19:33.868066+10:00,SMH,7
2022-09-06 18:22:52.403717+10:00,ABC,20
2022-09-06 18:23:17.898819+10:00,SBS,12
2022-09-06 18:23:35.088064+10:00,News,0
2022-09-06 18:23:37.068941+10:00,SMH,5
2022-09-07 06:18:58.057820+10:00,ABC,20
2022-09-07 06:19:17.852203+10:00,News,0
2022-09-07 06:19:19.614808+10:00,SMH,7
2022-09-07 18:25:02.403060+10:00,ABC,20
2022-09-07 18:25:29.355587+10:00,SBS,12
2022-09-07 18:25:49.642994+10:00,News,0
2022-09-07 18:25:51.544341+10:00,SMH,6
2022-09-08 06:21:36.843829+10:00,ABC,20
2022-09-08 06:21:55.659776+10:00,SBS,12
2022-09-08 06:22:12.759152+10:00,News,0
2022-09-08 06:22:14.622581+10:00,SMH,7
2022-09-08 18:22:33.592793+10:00,ABC,20
2022-09-08 18:22:58.275419+10:00,News,0
2022-09-08 18:23:00.087998+10:00,SMH,8
2022-09-09 06:20:54.646899+10:00,ABC,20
2022-09-09 06:21:26.708797+10:00,News,0
2022-09-09 06:21:28.441591+10:00,SMH,9
2022-09-09 18:27:03.122813+10:00,ABC,20
2022-09-09 18:28:22.421598+10:00,News,0
2022-09-09 18:28:24.417689+10:00,SMH,9
2022-09-10 06:20:15.364406+10:00,ABC,20
2022-09-10 06:20:45.823287+10:00,News,0
2022-09-10 06:20:47.679588+10:00,SMH,10
2022-09-10 18:23:11.791152+10:00,ABC,20
2022-09-10 18:23:38.787167+10:00,News,0
2022-09-10 18:23:40.829630+10:00,SMH,7
2022-09-11 06:19:16.178591+10:00,News,0
2022-09-11 06:19:18.000138+10:00,SMH,10
2022-09-11 18:21:44.480585+10:00,ABC,20
2022-09-11 18:22:08.306465+10:00,News,0
2022-09-11 18:22:10.171083+10:00,SMH,9
2022-09-12 06:19:30.818798+10:00,ABC,20
2022-09-12 06:19:56.993188+10:00,News,0
2022-09-12 06:19:58.840704+10:00,SMH,10
2022-09-12 18:25:16.902154+10:00,ABC,20
2022-09-12 18:25:38.655785+10:00,News,0
2022-09-12 18:25:40.542284+10:00,SMH,7
2022-09-13 06:20:34.281799+10:00,ABC,20
2022-09-13 06:21:04.588165+10:00,News,0
2022-09-13 06:21:06.545773+10:00,SMH,10
2022-09-13 18:23:56.663913+10:00,ABC,20
2022-09-13 18:24:25.289408+10:00,News,0
2022-09-13 18:24:26.989027+10:00,SMH,8
2022-09-14 06:20:34.754637+10:00,ABC,20
2022-09-14 06:21:03.678267+10:00,News,0
2022-09-14 06:21:05.437921+10:00,SMH,10
2022-09-14 18:25:08.968311+10:00,ABC,20
2022-09-14 18:25:39.004702+10:00,News,0
2022-09-14 18:25:40.971814+10:00,SMH,9
2022-09-15 06:21:45.861963+10:00,ABC,20
2022-09-15 06:22:14.327876+10:00,News,0
2022-09-15 06:22:16.134563+10:00,SMH,9
2022-09-15 18:27:53.627084+10:00,ABC,20
2022-09-15 18:28:16.777088+10:00,News,0
2022-09-15 18:28:18.403929+10:00,SMH,7
2022-09-16 06:20:27.089341+10:00,ABC,20
2022-09-16 06:21:01.133025+10:00,News,0
2022-09-16 06:21:02.985859+10:00,SMH,9
2022-09-16 18:24:19.990659+10:00,ABC,20
2022-09-16 18:24:46.661890+10:00,News,0
2022-09-16 18:24:48.359302+10:00,SMH,9
2022-09-17 06:19:57.855971+10:00,ABC,20
2022-09-17 06:20:27.550824+10:00,News,0
2022-09-17 06:20:29.153428+10:00,SMH,10
2022-09-17 18:22:59.797400+10:00,ABC,20
2022-09-17 18:23:25.730537+10:00,News,0
2022-09-17 18:23:27.696446+10:00,SMH,10
2022-09-18 06:19:26.847098+10:00,ABC,20
2022-09-18 06:19:54.383188+10:00,News,0
2022-09-18 06:19:56.089186+10:00,SMH,10
2022-09-18 18:22:22.024369+10:00,ABC,20
2022-09-18 18:22:50.983652+10:00,News,0
2022-09-18 18:22:52.655985+10:00,SMH,9
2022-09-19 06:19:29.878600+10:00,ABC,20
2022-09-19 06:20:03.968907+10:00,News,0
2022-09-19 06:20:05.680137+10:00,SMH,9
2022-09-19 18:28:42.562764+10:00,ABC,20
2022-09-19 18:29:07.833196+10:00,News,0
2022-09-19 18:29:09.548230+10:00,SMH,9
2022-09-20 06:21:21.962198+10:00,ABC,20
2022-09-20 06:21:47.841440+10:00,News,0
2022-09-20 06:21:49.551796+10:00,SMH,9
2022-09-20 18:27:49.709694+10:00,ABC,20
2022-09-20 18:28:13.277243+10:00,News,0
2022-09-20 18:28:15.221773+10:00,SMH,8
2022-09-21 06:21:00.210528+10:00,News,0
2022-09-21 06:21:01.922672+10:00,SMH,10
2022-09-21 18:29:50.794565+10:00,ABC,20
2022-09-21 18:30:16.189585+10:00,News,0
2022-09-21 18:30:18.000947+10:00,SMH,6
2022-09-22 06:20:21.362433+10:00,ABC,20
2022-09-22 06:20:53.448596+10:00,News,0
2022-09-22 06:20:55.480322+10:00,SMH,8
2022-09-22 18:26:38.833973+10:00,ABC,20
2022-09-22 18:27:08.032826+10:00,News,0
2022-09-22 18:27:09.754257+10:00,SMH,5
2022-09-23 06:20:55.289481+10:00,ABC,20
2022-09-23 06:21:16.372673+10:00,News,0
2022-09-23 06:21:18.087735+10:00,SMH,9
2022-09-23 18:25:28.782006+10:00,ABC,20
2022-09-23 18:25:57.901417+10:00,News,0
2022-09-23 18:25:59.832040+10:00,SMH,7
2022-09-24 06:20:26.650547+10:00,ABC,20
2022-09-24 06:20:56.099365+10:00,News,0
2022-09-24 06:20:57.982490+10:00,SMH,10
2022-09-24 18:23:29.384287+10:00,ABC,20
2022-09-24 18:23:52.076858+10:00,News,0
2022-09-24 18:23:53.823322+10:00,SMH,9
2022-09-25 06:19:44.569572+10:00,ABC,20
2022-09-25 06:20:14.534019+10:00,News,0
2022-09-25 06:20:16.420717+10:00,SMH,10
2022-09-25 18:23:33.703473+10:00,ABC,20
2022-09-25 18:24:03.045168+10:00,News,0
2022-09-25 18:24:04.913277+10:00,SMH,9
2022-09-26 06:19:39.250478+10:00,ABC,20
2022-09-26 06:20:07.375716+10:00,News,0
2022-09-26 06:20:09.555536+10:00,SMH,8
2022-09-26 18:26:22.097514+10:00,ABC,20
2022-09-26 18:26:49.816968+10:00,News,0
2022-09-26 18:26:51.640552+10:00,SMH,6
2022-09-27 06:20:28.362945+10:00,ABC,20
2022-09-27 06:20:48.890665+10:00,News,0
2022-09-27 06:20:50.775280+10:00,SMH,7
2022-09-27 18:32:26.844538+10:00,ABC,20
2022-09-27 18:32:52.374982+10:00,News,0
2022-09-27 18:32:53.937205+10:00,SMH,6
2022-09-28 06:22:18.706591+10:00,ABC,20
2022-09-28 06:22:46.893841+10:00,News,0
2022-09-28 06:22:48.896946+10:00,SMH,8
2022-09-28 18:28:27.034104+10:00,ABC,20
2022-09-28 18:28:53.114570+10:00,News,0
2022-09-28 18:28:54.703593+10:00,SMH,8
2022-09-29 06:21:39.121911+10:00,ABC,20
2022-09-29 06:22:06.609650+10:00,News,0
2022-09-29 06:22:08.514369+10:00,SMH,8
2022-09-29 18:28:40.959530+10:00,News,0
2022-09-29 18:28:42.705143+10:00,SMH,7
2022-09-30 06:22:43.994998+10:00,ABC,20
2022-09-30 06:23:07.203308+10:00,News,0
2022-09-30 06:23:08.977644+10:00,SMH,7
2022-09-30 18:32:46.429388+10:00,ABC,20
2022-09-30 18:33:17.693613+10:00,News,0
2022-09-30 18:33:19.363754+10:00,SMH,8
2022-10-01 06:22:14.003629+10:00,ABC,20
2022-10-01 06:22:36.013875+10:00,News,0
2022-10-01 06:22:37.780729+10:00,SMH,10
2022-10-01 18:26:10.549506+10:00,ABC,20
2022-10-01 18:26:34.831186+10:00,News,0
2022-10-01 18:26:36.647753+10:00,SMH,9
2022-10-02 06:20:45.202172+10:00,ABC,20
2022-10-02 06:21:12.858886+10:00,News,0
2022-10-02 06:21:14.575217+10:00,SMH,10
2022-10-02 18:24:42.135229+10:00,ABC,20
2022-10-02 18:25:07.021236+10:00,News,0
2022-10-02 18:25:08.812714+10:00,SMH,7
2022-10-03 06:21:20.378411+10:00,ABC,20
2022-10-03 06:21:50.936262+10:00,News,0
2022-10-03 06:21:52.732279+10:00,SMH,6
2022-10-03 18:27:48.541191+10:00,ABC,20
2022-10-03 18:28:12.349075+10:00,News,0
2022-10-03 18:28:14.260021+10:00,SMH,6
2022-10-04 06:22:52.134023+10:00,ABC,20
2022-10-04 06:23:19.770116+10:00,News,0
2022-10-04 06:23:21.747985+10:00,SMH,8
2022-10-04 18:28:24.963877+10:00,ABC,20
2022-10-04 18:28:50.834367+10:00,News,0
2022-10-04 18:28:52.554170+10:00,SMH,6
2022-10-05 06:23:35.719027+10:00,ABC,20
2022-10-05 06:23:58.979356+10:00,News,0
2022-10-05 06:24:00.854249+10:00,SMH,7
2022-10-05 18:26:09.848551+10:00,News,0
2022-10-05 18:26:11.736376+10:00,SMH,7
2022-10-06 06:22:12.329559+10:00,ABC,20
2022-10-06 06:22:35.180615+10:00,News,0
2022-10-06 06:22:37.027102+10:00,SMH,9
2022-10-06 18:27:37.284708+10:00,ABC,20
2022-10-06 18:28:08.540540+10:00,News,0
2022-10-06 18:28:10.725815+10:00,SMH,7
2022-10-07 06:22:34.331153+10:00,ABC,20
2022-10-07 06:23:03.203869+10:00,News,0
2022-10-07 06:23:05.105775+10:00,SMH,9
2022-10-07 18:26:36.559512+10:00,ABC,20
2022-10-07 18:26:59.998414+10:00,News,0
2022-10-07 18:27:01.564663+10:00,SMH,6
2022-10-08 06:22:26.954513+10:00,ABC,20
2022-10-08 06:22:52.307495+10:00,News,0
2022-10-08 06:22:54.071272+10:00,SMH,7
2022-10-08 18:26:02.497436+10:00,ABC,20
2022-10-08 18:26:19.758291+10:00,News,0
2022-10-08 18:26:21.542988+10:00,SMH,6
2022-10-09 06:21:10.204837+10:00,ABC,20
2022-10-09 06:21:38.245966+10:00,News,0
2022-10-09 06:21:40.174134+10:00,SMH,10
2022-10-09 18:25:26.985626+10:00,ABC,20
2022-10-09 18:25:55.762062+10:00,News,0
2022-10-09 18:25:57.549824+10:00,SMH,8
2022-10-10 06:21:17.432465+10:00,ABC,20
2022-10-10 06:21:42.149731+10:00,News,0
2022-10-10 06:21:44.005668+10:00,SMH,9
2022-10-10 18:31:54.540604+10:00,ABC,20
2022-10-10 18:32:23.491927+10:00,News,0
2022-10-10 18:32:25.203026+10:00,SMH,8
2022-10-11 06:22:21.845040+10:00,ABC,20
2022-10-11 06:22:51.714850+10:00,News,0
2022-10-11 06:22:53.452496+10:00,SMH,7
2022-10-11 18:29:40.510058+10:00,ABC,20
2022-10-11 18:30:10.302288+10:00,News,0
2022-10-11 18:30:11.974218+10:00,SMH,5
2022-10-12 06:23:33.312168+10:00,ABC,20
2022-10-12 06:23:56.820875+10:00,News,0
2022-10-12 06:23:58.696525+10:00,SMH,7
2022-10-12 18:26:11.039597+10:00,ABC,20
2022-10-12 18:26:31.705022+10:00,News,0
2022-10-12 18:26:33.431382+10:00,SMH,6
2022-10-13 06:23:23.052863+10:00,ABC,20
2022-10-13 06:23:50.967378+10:00,News,0
2022-10-13 06:23:52.844966+10:00,SMH,8
2022-10-13 18:27:39.427236+10:00,ABC,20
2022-10-13 18:28:08.162358+10:00,News,0
2022-10-13 18:28:10.013681+10:00,SMH,6
2022-10-14 06:23:04.934599+10:00,ABC,20
2022-10-14 06:23:30.079328+10:00,News,0
2022-10-14 06:23:31.805295+10:00,SMH,9
2022-10-14 18:28:32.295739+10:00,ABC,20
2022-10-14 18:28:55.798571+10:00,News,0
2022-10-14 18:28:57.777669+10:00,SMH,7
2022-10-15 06:22:43.760507+10:00,ABC,20
2022-10-15 06:23:10.402639+10:00,News,0
2022-10-15 06:23:12.142791+10:00,SMH,10
2022-10-15 18:26:48.111857+10:00,ABC,20
2022-10-15 18:27:14.460377+10:00,News,0
2022-10-15 18:27:16.173618+10:00,SMH,7
2022-10-16 06:21:05.549504+10:00,ABC,20
2022-10-16 06:21:33.151518+10:00,News,0
2022-10-16 06:21:34.971039+10:00,SMH,10
2022-10-16 18:25:36.456815+10:00,ABC,20
2022-10-16 18:26:02.266760+10:00,News,0
2022-10-16 18:26:04.152988+10:00,SMH,6
2022-10-17 06:21:51.977525+10:00,ABC,20
2022-10-17 06:22:17.731380+10:00,News,0
2022-10-17 06:22:19.630246+10:00,SMH,7
2022-10-17 18:35:49.669544+10:00,ABC,20
2022-10-17 18:36:16.640397+10:00,News,0
2022-10-17 18:36:18.383719+10:00,SMH,6
2022-10-18 06:22:41.509545+10:00,ABC,20
2022-10-18 06:23:09.026777+10:00,News,0
2022-10-18 06:23:11.195546+10:00,SMH,8
2022-10-18 18:33:58.876471+10:00,ABC,20
2022-10-18 18:34:24.508055+10:00,News,0
2022-10-18 18:34:26.482839+10:00,SMH,8
2022-10-19 06:23:01.996309+10:00,ABC,20
2022-10-19 06:23:25.492030+10:00,News,0
2022-10-19 06:23:27.294885+10:00,SMH,9
2022-10-19 18:36:21.526872+10:00,ABC,20
2022-10-19 18:36:51.401358+10:00,News,0
2022-10-19 18:36:53.511534+10:00,SMH,8
2022-10-20 06:22:36.151885+10:00,ABC,20
2022-10-20 06:22:59.730423+10:00,News,0
2022-10-20 06:23:01.468692+10:00,SMH,8
2022-10-20 18:27:54.789786+10:00,ABC,20
2022-10-20 18:28:27.806479+10:00,News,0
2022-10-20 18:28:29.687717+10:00,SMH,6
2022-10-21 06:22:49.811777+10:00,ABC,20
2022-10-21 06:23:21.773700+10:00,News,0
2022-10-21 06:23:23.470030+10:00,SMH,8
2022-10-21 18:29:15.595989+10:00,ABC,20
2022-10-21 18:29:39.635573+10:00,News,0
2022-10-21 18:29:41.521204+10:00,SMH,7
2022-10-22 06:22:54.614686+10:00,ABC,20
2022-10-22 06:23:17.760652+10:00,News,0
2022-10-22 06:23:19.609658+10:00,SMH,9
2022-10-22 18:27:08.369141+10:00,ABC,20
2022-10-22 18:27:38.977870+10:00,News,0
2022-10-22 18:27:40.746852+10:00,SMH,7
2022-10-23 06:21:43.902417+10:00,ABC,20
2022-10-23 06:22:09.381085+10:00,News,0
2022-10-23 06:22:15.599748+10:00,SMH,10
2022-10-23 18:25:51.060820+10:00,ABC,20
2022-10-23 18:26:22.170392+10:00,News,0
2022-10-23 18:26:23.902547+10:00,SMH,6
2022-10-24 06:21:58.876104+10:00,ABC,20
2022-10-24 06:22:30.108601+10:00,News,0
2022-10-24 06:22:31.865098+10:00,SMH,6
2022-10-24 18:36:12.657504+10:00,ABC,20
2022-10-24 18:36:40.160521+10:00,News,0
2022-10-24 18:36:42.116896+10:00,SMH,10
2022-10-25 06:23:09.782985+10:00,ABC,20
2022-10-25 06:23:36.796790+10:00,News,0
2022-10-25 06:23:38.676080+10:00,SMH,8
2022-10-25 18:34:55.635934+10:00,ABC,20
2022-10-25 18:35:25.175808+10:00,News,0
2022-10-25 18:35:27.033617+10:00,SMH,6
2022-10-26 06:24:03.083675+10:00,ABC,20
2022-10-26 06:24:30.104690+10:00,News,0
2022-10-26 06:24:31.974753+10:00,SMH,8
2022-10-26 18:23:39.117108+10:00,ABC,20
2022-10-26 18:24:00.811211+10:00,News,0
2022-10-26 18:24:02.592925+10:00,SMH,6
2022-10-27 06:20:00.275568+10:00,ABC,20
2022-10-27 06:20:28.649383+10:00,News,0
2022-10-27 06:20:30.452788+10:00,SMH,7
2022-10-27 18:23:54.474951+10:00,ABC,20
2022-10-27 18:24:24.197642+10:00,News,0
2022-10-27 18:24:26.368552+10:00,SMH,6
2022-10-28 06:20:07.630839+10:00,ABC,20
2022-10-28 06:20:30.673317+10:00,News,0
2022-10-28 06:20:32.372623+10:00,SMH,6
2022-10-28 18:28:58.299263+10:00,ABC,20
2022-10-28 18:29:26.535339+10:00,News,0
2022-10-28 18:29:28.452129+10:00,SMH,6
2022-10-29 06:20:35.184305+10:00,ABC,20
2022-10-29 06:20:57.170663+10:00,News,0
2022-10-29 06:20:59.122808+10:00,SMH,10
2022-10-29 18:23:27.643974+10:00,ABC,20
2022-10-29 18:23:52.562204+10:00,News,0
2022-10-29 18:23:54.415544+10:00,SMH,7
2022-10-30 06:18:54.464698+10:00,ABC,20
